crop,district,state,observations,mean_residual,median_residual,mae,rmse,p90_error,is_high_error_district
Oilseeds,Bellary,Karnataka,4,472.04,483.85,472.04,496.52,632.25,False
Oilseeds,Betul,Madhya Pradesh,4,484.28,1067.21,1134.89,1139.09,1242.04,True
Oilseeds,Bhagalpur,Bihar,4,355.84,148.81,355.84,563.28,839.46,False
Oilseeds,Bhandara,Maharashtra,4,189.58,150.78,189.58,206.4,279.77,False
Oilseeds,Bharatpur,Rajasthan,4,312.06,304.02,685.67,769.64,1063.88,False
Oilseeds,Bharuch,Gujarat,4,543.27,581.05,543.27,617.12,835.6,False
Oilseeds,Bhatinda,Punjab,4,235.83,66.01,437.63,642.09,971.51,False
Oilseeds,Bhavnagar,Gujarat,4,424.32,201.79,451.4,702.97,1063.39,False
Oilseeds,Bhilwara,Rajasthan,4,301.19,283.47,376.0,448.21,640.51,False
Oilseeds,Bhind,Madhya Pradesh,4,538.99,550.04,538.99,588.87,769.68,False
Oilseeds,Bidar,Karnataka,4,838.31,892.54,838.31,889.93,1128.71,True
Oilseeds,Bijapur / Vijayapura,Karnataka,4,350.14,433.06,361.43,419.03,547.07,False
Oilseeds,Bijnor,Uttar Pradesh,4,665.61,618.41,665.61,776.21,1109.75,False
Oilseeds,Bikaner,Rajasthan,4,673.23,658.33,978.95,1204.85,1737.99,True
Oilseeds,Bilashpur,Himachal Pradesh,4,80.77,44.94,465.9,504.38,684.39,False
Oilseeds,Bilaspur,Chhattisgarh,4,238.59,309.25,250.3,284.49,355.59,False
Oilseeds,Birbhum,West Bengal,4,334.0,165.96,334.0,484.95,719.96,False
Oilseeds,Bolangir,Orissa,4,-71.19,-95.19,114.34,120.71,156.73,False
Oilseeds,Budaun,Uttar Pradesh,4,604.41,533.16,604.41,726.52,1058.62,False
Oilseeds,Buland Shahar,Uttar Pradesh,4,730.79,597.13,730.79,897.07,1324.2,False
Oilseeds,Buldhana,Maharashtra,4,782.15,775.13,782.15,803.16,981.39,False
Oilseeds,Bundi,Rajasthan,4,257.54,294.43,504.92,584.73,803.68,False
Oilseeds,Burdwan,West Bengal,4,361.16,168.34,361.16,550.21,820.62,False
Oilseeds,Cachar,Assam,4,145.07,181.18,185.18,203.09,276.49,False
Oilseeds,Chamba,Himachal Pradesh,4,118.06,130.18,193.89,231.4,327.16,False
Oilseeds,Chamoli,Uttarakhand,4,144.14,281.18,431.31,457.45,584.27,False
Oilseeds,Champaran,Bihar,4,319.64,140.37,319.64,489.16,713.36,False
Oilseeds,Chandrapur,Maharashtra,4,347.13,336.78,347.13,380.88,519.35,False
Oilseeds,Chengalpattu Mgr / Kanchipuram,Tamil Nadu,4,1476.06,858.33,1476.06,2055.74,3011.06,True
Oilseeds,Chhatarpur,Madhya Pradesh,4,210.28,474.6,530.2,534.5,607.42,False
Oilseeds,Chhindwara,Madhya Pradesh,4,249.75,276.67,428.75,494.71,693.86,False
Oilseeds,Chickmagalur,Karnataka,4,205.76,223.12,241.37,284.61,409.53,False
Oilseeds,Chitradurga,Karnataka,4,357.7,415.05,357.7,419.08,560.88,False
Oilseeds,Chittoor,Andhra Pradesh,4,-340.62,-155.16,659.38,787.42,1148.84,False
Oilseeds,Chittorgarh,Rajasthan,4,355.2,415.79,504.74,576.04,814.63,False
Oilseeds,Churu,Rajasthan,4,385.92,219.87,484.66,688.75,1032.31,False
Oilseeds,Coimbatore,Tamil Nadu,4,312.16,-95.84,910.91,1184.41,1755.0,True
Oilseeds,Cooch Behar,West Bengal,4,209.56,194.09,209.56,225.12,302.2,False
Oilseeds,Cuttack,Orissa,4,-127.8,-127.33,127.8,134.44,171.5,False
Oilseeds,Dakshina Kannada,Karnataka,4,465.52,215.67,518.65,797.42,1199.4,False
Oilseeds,Damoh,Madhya Pradesh,4,113.91,26.14,579.18,695.55,1017.15,False
Oilseeds,Dangs,Gujarat,4,1219.23,1322.62,1219.23,1450.79,1999.25,True
Oilseeds,Darbhanga,Bihar,4,329.05,161.42,329.05,481.58,712.17,False
Oilseeds,Darjeeling,West Bengal,4,279.64,304.21,279.64,301.57,387.69,False
Oilseeds,Darrang,Assam,4,141.37,120.83,210.33,263.23,387.17,False
Oilseeds,Datia,Madhya Pradesh,4,290.34,302.43,293.98,360.86,515.41,False
Oilseeds,Dehradun,Uttarakhand,4,175.42,337.68,352.54,353.51,375.97,False
Oilseeds,Deoria,Uttar Pradesh,4,508.81,441.62,508.81,566.3,792.93,False
Oilseeds,Dewas,Madhya Pradesh,4,731.72,759.48,731.72,736.27,796.91,False
Oilseeds,Dhanbad,Jharkhand,4,821.15,810.35,821.15,943.66,1304.79,False
Oilseeds,Dhar,Madhya Pradesh,4,213.54,218.63,717.92,749.3,937.58,False
Oilseeds,Dharwad,Karnataka,4,458.1,576.79,489.18,556.24,721.22,False
Oilseeds,Dhenkanal,Orissa,4,-13.37,-6.13,23.67,31.08,45.22,False
Oilseeds,Dhule,Maharashtra,4,326.58,292.8,373.96,460.87,672.38,False
Oilseeds,Dibrugarh,Assam,4,185.93,63.08,210.06,339.54,503.43,False
Oilseeds,Dungarpur,Rajasthan,4,259.74,172.27,259.74,346.1,509.32,False
Oilseeds,Durg,Chhattisgarh,4,370.25,357.56,370.25,382.63,478.28,False
Oilseeds,East Godavari,Andhra Pradesh,4,-2785.9,-296.18,4195.72,6770.7,10084.64,True
Oilseeds,Eranakulam,Kerala,4,139.3,137.56,139.3,139.94,154.04,False
Oilseeds,Etah,Uttar Pradesh,4,764.43,618.07,764.43,929.14,1368.6,False
Oilseeds,Etawah,Uttar Pradesh,4,631.44,620.71,631.44,725.25,1017.64,False
Oilseeds,Faizabad,Uttar Pradesh,4,451.3,472.79,451.3,469.63,578.72,False
Oilseeds,Farrukhabad,Uttar Pradesh,4,527.18,453.88,527.18,588.89,823.53,False
Oilseeds,Fatehpur,Uttar Pradesh,4,453.81,465.43,453.81,472.86,590.96,False
Oilseeds,Ferozpur,Punjab,4,242.38,77.63,242.38,398.63,582.81,False
Oilseeds,Ganganagar,Rajasthan,4,391.31,442.09,627.42,745.11,1028.97,False
Oilseeds,Ganjam,Orissa,4,-45.24,-44.63,103.55,116.6,160.53,False
Oilseeds,Garhwal,Uttarakhand,4,200.62,357.06,341.84,343.63,368.66,False
Oilseeds,Gaya,Bihar,4,224.64,86.57,273.65,420.24,615.39,False
Oilseeds,Ghazipur,Uttar Pradesh,4,668.12,624.05,668.12,727.53,992.12,False
Oilseeds,Goalpara,Assam,4,256.99,167.76,256.99,383.4,583.49,False
Oilseeds,Gonda,Uttar Pradesh,4,512.69,485.38,512.69,552.03,740.43,False
Oilseeds,Gorakhpur,Uttar Pradesh,4,489.85,443.62,489.85,525.85,708.12,False
Oilseeds,Gulbarga / Kalaburagi,Karnataka,4,365.08,395.27,365.08,415.74,564.49,False
Oilseeds,Guna,Madhya Pradesh,4,428.25,498.33,504.06,579.15,812.65,False
Oilseeds,Guntur,Andhra Pradesh,4,-237.09,-71.8,277.47,444.43,657.62,False
Oilseeds,Gurdaspur,Punjab,4,142.99,109.86,441.29,565.92,843.16,False
Oilseeds,Gurgaon,Haryana,4,-385.77,-189.24,460.64,677.94,1004.37,False
Oilseeds,Gwalior,Madhya Pradesh,4,397.37,310.74,397.37,463.94,670.96,False
Oilseeds,Hamirpur,Uttar Pradesh,4,357.49,349.74,357.49,364.56,432.19,False
Oilseeds,Hardoi,Uttar Pradesh,4,464.1,471.59,464.1,476.09,567.66,False
Oilseeds,Hassan,Karnataka,4,214.05,243.96,270.47,317.24,452.03,False
Oilseeds,Hazaribagh,Jharkhand,4,298.25,419.03,446.23,472.62,618.72,False
Oilseeds,Hissar,Haryana,4,-317.67,-278.07,317.67,365.03,515.53,False
Oilseeds,Hooghly,West Bengal,4,413.82,237.55,413.82,602.4,910.25,False
Oilseeds,Hoshangabad,Madhya Pradesh,4,417.74,810.83,933.28,942.8,1065.59,True
Oilseeds,Hoshiarpur,Punjab,4,319.23,17.1,362.65,666.32,956.75,False
Oilseeds,Howrah,West Bengal,4,769.93,613.36,769.93,1015.16,1472.91,False
Oilseeds,Hyderabad,Telangana,4,380.28,276.5,380.28,529.49,802.54,False
Oilseeds,Indore,Madhya Pradesh,4,272.82,449.17,502.39,516.79,627.19,False
Oilseeds,Jabalpur,Madhya Pradesh,4,165.87,262.81,375.41,395.09,515.58,False
Oilseeds,Jaipur,Rajasthan,4,168.55,213.14,625.82,657.7,817.56,False
Oilseeds,Jaisalmer,Rajasthan,4,222.26,153.3,417.96,542.45,799.11,False
Oilseeds,Jalandhar,Punjab,4,320.21,14.37,324.42,630.41,890.13,False
Oilseeds,Jalaun,Uttar Pradesh,4,359.47,325.71,359.47,375.25,476.48,False
Oilseeds,Jalgaon,Maharashtra,4,366.22,390.58,366.22,395.76,515.53,False
Oilseeds,Jalore,Rajasthan,4,450.2,420.89,549.07,692.98,1028.31,False
Oilseeds,Jalpaiguri,West Bengal,4,332.53,120.44,332.53,535.18,791.86,False
Oilseeds,Jamnagar,Gujarat,4,1110.0,1031.13,1110.0,1154.05,1470.24,True
Oilseeds,Jaunpur,Uttar Pradesh,4,542.29,548.39,542.29,567.77,709.29,False
Oilseeds,Jhabua,Madhya Pradesh,4,254.3,230.91,481.15,586.51,842.46,False
Oilseeds,Jhalawar,Rajasthan,4,534.62,493.5,534.62,548.38,673.26,False
Oilseeds,Jhansi,Uttar Pradesh,4,491.79,483.36,491.79,494.47,548.58,False
Oilseeds,Jhunjhunu,Rajasthan,4,305.7,110.89,475.21,663.35,973.94,False
Oilseeds,Jind,Haryana,4,-312.74,-553.42,662.98,675.6,801.37,False
Oilseeds,Jodhpur,Rajasthan,4,219.83,180.22,819.35,850.66,1074.6,False
Oilseeds,Junagadh,Gujarat,4,1428.32,1461.49,1428.32,1440.16,1610.23,True
Oilseeds,Kadapa Ysr,Andhra Pradesh,4,-232.8,-178.84,570.83,621.49,848.19,False
Oilseeds,Kalahandi,Orissa,4,-59.53,-65.69,79.5,99.83,139.72,False
Oilseeds,Kamrup,Assam,4,190.86,157.67,306.8,388.6,564.75,False
Oilseeds,Kangra,Himachal Pradesh,4,149.44,85.66,276.6,366.02,538.13,False
Oilseeds,Kannur,Kerala,4,164.68,146.44,164.68,176.7,237.52,False
Oilseeds,Kanpur,Uttar Pradesh,4,619.53,489.79,619.53,712.86,1002.84,False
Oilseeds,Kapurthala,Punjab,4,170.6,-7.04,379.4,564.49,856.4,False
Oilseeds,Karbi Anglong,Assam,4,119.7,107.51,196.94,233.37,335.36,False
Oilseeds,Karimnagar,Telangana,4,279.35,94.34,316.32,507.67,740.4,False
Oilseeds,Karnal,Haryana,4,92.32,120.54,1329.5,1411.68,1819.84,True
Oilseeds,Keonjhar,Orissa,4,-78.21,-4.29,101.94,177.27,260.01,False
Oilseeds,Khammam,Telangana,4,770.95,-237.54,4566.0,5465.81,8000.88,True
Oilseeds,Khandwa / East Nimar,Madhya Pradesh,4,349.07,472.11,376.32,419.92,496.77,False
Oilseeds,Khargone / West Nimar,Madhya Pradesh,4,405.25,351.44,590.01,733.58,1077.33,False
Oilseeds,Kheda,Gujarat,4,362.89,85.45,436.53,721.49,1043.74,False
Oilseeds,Kheri,Uttar Pradesh,4,510.48,476.05,510.48,554.18,750.52,False
Oilseeds,Kodagu / Coorg,Karnataka,4,181.79,179.07,181.79,185.76,223.87,False
Oilseeds,Kolar,Karnataka,4,374.23,398.81,374.23,394.95,496.8,False
Oilseeds,Kolhapur,Maharashtra,4,495.48,266.29,558.92,829.43,1257.45,False
Oilseeds,Kollam,Kerala,4,92.99,100.0,92.99,95.4,111.81,False
Oilseeds,Koraput,Orissa,4,-54.51,-21.56,111.25,137.45,198.78,False
Oilseeds,Kota,Rajasthan,4,564.63,752.0,614.66,685.04,839.97,False
Oilseeds,Kottayam,Kerala,4,142.4,159.82,142.4,148.73,175.65,False
Oilseeds,Kozhikode,Kerala,4,152.82,95.61,152.82,193.05,281.04,False
Oilseeds,Krishna,Andhra Pradesh,4,-5043.11,-5362.53,5043.11,5253.36,6435.14,True
Oilseeds,Kullu,Himachal Pradesh,4,283.31,864.3,1155.34,1214.18,1565.45,True
Oilseeds,Kurnool,Andhra Pradesh,4,-233.51,-140.85,233.51,323.16,478.81,False
Oilseeds,Kutch,Gujarat,4,628.96,490.37,653.35,909.13,1374.71,False
Oilseeds,Lahul & Spiti,Himachal Pradesh,4,627.91,608.63,627.91,760.87,1097.82,False
Oilseeds,Lakhimpur,Assam,4,107.62,-62.71,416.69,506.97,734.74,False
Oilseeds,Lucknow,Uttar Pradesh,4,503.29,521.58,503.29,515.95,616.47,False
Oilseeds,Ludhiana,Punjab,4,229.74,-73.66,448.05,682.36,1007.76,False
Oilseeds,Madurai,Tamil Nadu,4,344.39,100.65,942.44,1331.58,2018.47,True
Oilseeds,Mahabubnagar,Telangana,4,294.15,306.63,418.93,504.54,730.44,False
Oilseeds,Mahendragarh / Narnaul,Haryana,4,-354.12,-467.06,411.76,452.0,580.19,False
Oilseeds,Mainpuri,Uttar Pradesh,4,784.99,713.86,784.99,909.99,1302.93,False
Oilseeds,Malappuram,Kerala,4,136.44,136.7,136.44,136.58,142.82,False
Oilseeds,Malda,West Bengal,4,319.18,108.11,348.14,568.15,840.05,False
Oilseeds,Mandi,Himachal Pradesh,4,171.49,306.01,427.06,446.01,562.88,False
Oilseeds,Mandla,Madhya Pradesh,4,178.83,200.85,334.09,391.58,542.99,False
Oilseeds,Mandsaur,Madhya Pradesh,4,756.8,664.03,756.8,797.78,1045.06,False
Oilseeds,Mandya,Karnataka,4,213.04,232.4,213.04,263.06,368.14,False
Oilseeds,Mathura,Uttar Pradesh,4,796.23,707.49,796.23,932.37,1345.22,False
Oilseeds,Mayurbhanja,Orissa,4,-143.26,-197.08,308.08,333.52,454.86,False
Oilseeds,Medak,Telangana,4,211.99,108.6,211.99,302.31,444.23,False
Oilseeds,Meerut,Uttar Pradesh,4,808.73,748.64,808.73,936.94,1338.16,False
Oilseeds,Mehsana,Gujarat,4,656.06,486.23,879.05,1139.09,1705.44,True
Oilseeds,Midnapur,West Bengal,4,512.99,456.35,517.34,700.14,1041.41,False
Oilseeds,Mirzpur,Uttar Pradesh,4,467.86,489.33,467.86,478.49,557.38,False
Oilseeds,Moradabad,Uttar Pradesh,4,669.34,628.77,669.34,772.69,1094.27,False
Oilseeds,Morena,Madhya Pradesh,4,433.24,488.15,482.1,573.99,812.18,False
Oilseeds,Mungair,Bihar,4,376.31,152.42,376.31,586.02,873.08,False
Oilseeds,Murshidabad,West Bengal,4,455.8,379.87,469.53,633.92,953.49,False
Oilseeds,Muzaffarnagar,Uttar Pradesh,4,545.59,478.69,545.59,599.71,819.73,False
Oilseeds,Muzaffarpur,Bihar,4,328.8,91.72,371.2,614.88,898.42,False
Oilseeds,Mysore,Karnataka,4,272.22,342.33,315.08,360.8,487.51,False
Oilseeds,Nadia,West Bengal,4,464.85,361.1,475.73,657.96,995.26,False
Oilseeds,Nagaon,Assam,4,138.12,74.76,281.52,356.34,519.06,False
Oilseeds,Nagaur,Rajasthan,4,196.69,56.52,445.6,542.12,775.29,False
Oilseeds,Nagpur,Maharashtra,4,457.11,446.87,457.11,462.79,536.6,False
Oilseeds,Nainital,Uttarakhand,4,157.81,225.43,735.62,900.29,1281.88,False
Oilseeds,Nalgonda,Telangana,4,224.38,48.45,271.55,451.51,654.77,False
Oilseeds,Nanded,Maharashtra,4,723.76,709.86,723.76,754.77,959.4,False
Oilseeds,Narsinghpur,Madhya Pradesh,4,370.9,469.1,476.52,529.88,724.81,False
Oilseeds,Nasik,Maharashtra,4,429.39,274.71,429.39,567.59,852.74,False
Oilseeds,Nizamabad,Telangana,4,598.97,436.92,598.97,759.3,1126.1,False
Oilseeds,North Arcot / Vellore,Tamil Nadu,3,662.76,553.22,912.31,1113.56,1558.15,True
Oilseeds,North Cachar Hil / Dima Hasao,Assam,4,267.95,368.75,331.98,355.62,447.26,False
Oilseeds,Osmanabad,Maharashtra,4,1324.41,1001.82,1324.41,1492.27,2092.45,True
Oilseeds,Palakkad,Kerala,4,166.34,153.95,166.34,170.04,206.65,False
Oilseeds,Palamau,Jharkhand,4,214.23,165.0,266.1,350.8,527.28,False
Oilseeds,Pali,Rajasthan,4,222.77,228.68,246.84,330.07,471.86,False
Oilseeds,Panchmahal,Gujarat,4,486.55,428.55,486.55,545.62,751.54,False
Oilseeds,Panna,Madhya Pradesh,4,162.8,305.66,396.14,412.26,494.59,False
Oilseeds,Parbhani,Maharashtra,4,843.12,714.18,843.12,891.31,1168.88,True
Oilseeds,Patiala,Punjab,4,307.82,-13.14,499.44,777.09,1146.75,False
Oilseeds,Patna,Bihar,4,576.4,350.26,576.4,847.14,1286.55,False
Oilseeds,Phulbani ( Kandhamal ),Orissa,4,-84.35,-66.91,121.27,151.89,220.68,False
Oilseeds,Pilibhit,Uttar Pradesh,4,500.46,466.54,500.46,532.25,703.18,False
Oilseeds,Pithorgarh,Uttarakhand,4,195.54,315.02,475.63,506.27,666.67,False
Oilseeds,Pratapgarh,Uttar Pradesh,4,519.49,487.4,519.49,551.67,728.55,False
Oilseeds,Pune,Maharashtra,4,359.44,258.57,819.52,1046.24,1564.6,False
Oilseeds,Puri,Orissa,4,-136.23,-134.52,136.23,137.69,157.78,False
Oilseeds,Purnea,Bihar,4,385.6,142.91,385.6,615.67,904.86,False
Oilseeds,Purulia,West Bengal,4,257.75,159.74,257.75,373.64,560.25,False
Oilseeds,Rae-Bareily,Uttar Pradesh,4,477.5,503.55,477.5,488.56,567.49,False
Oilseeds,Raichur,Karnataka,4,402.99,491.59,416.51,483.4,636.95,False
Oilseeds,Raigad,Maharashtra,4,318.25,279.13,473.41,591.09,866.56,False
Oilseeds,Raigarh,Chhattisgarh,4,164.3,150.6,228.04,282.64,408.4,False
Oilseeds,Raipur,Chhattisgarh,4,200.47,69.36,223.16,358.75,523.8,False
Oilseeds,Raisen,Madhya Pradesh,4,334.98,473.58,589.39,627.1,821.89,False
Oilseeds,Rajgarh,Madhya Pradesh,4,404.58,708.04,817.22,833.27,972.93,False
Oilseeds,Rajkot,Gujarat,4,1533.58,1057.74,1533.58,1837.87,2642.55,True
Oilseeds,Ramananthapuram,Tamil Nadu,4,229.82,-29.02,502.05,738.78,1114.55,False
Oilseeds,Rampur,Uttar Pradesh,4,672.8,696.6,672.8,738.44,989.22,False
Oilseeds,Ranchi,Jharkhand,4,268.08,86.11,274.25,460.43,669.04,False
Oilseeds,Ratlam,Madhya Pradesh,4,521.32,538.63,521.32,551.01,702.72,False
Oilseeds,Ratnagiri,Maharashtra,4,279.33,130.08,322.97,483.82,711.56,False
Oilseeds,Rewa,Madhya Pradesh,3,234.16,253.32,358.39,409.37,559.07,False
Oilseeds,Rohtak,Haryana,4,-284.63,-259.84,390.77,467.63,672.87,False
Oilseeds,Roopnagar / Ropar,Punjab,4,291.43,121.34,396.3,585.39,855.87,False
Oilseeds,S.P.S. Nellore,Andhra Pradesh,4,-671.6,-165.85,777.29,1285.71,1885.12,False
Oilseeds,Sabarkantha,Gujarat,4,477.4,544.93,947.54,1111.24,1523.43,True
Oilseeds,Sagar,Madhya Pradesh,4,384.86,732.37,779.56,782.63,842.92,False
Oilseeds,Saharanpur,Uttar Pradesh,4,450.62,581.0,653.04,704.64,955.47,False
Oilseeds,Saharsa,Bihar,4,436.68,219.13,436.68,633.19,940.82,False
Oilseeds,Sambalpur,Orissa,4,-20.36,-28.32,63.46,74.57,103.55,False
Oilseeds,Sangli,Maharashtra,4,315.14,277.69,487.88,587.52,839.11,False
Oilseeds,Sangrur,Punjab,3,38.79,-367.42,1068.13,1193.91,1563.63,True
Oilseeds,Santhal Paragana / Dumka,Jharkhand,4,216.81,206.5,367.86,435.88,620.06,False
Oilseeds,Saran,Bihar,4,430.79,219.32,430.79,608.38,889.4,False
Oilseeds,Satara,Maharashtra,4,465.78,239.76,471.9,726.12,1094.27,False
Oilseeds,Satna,Madhya Pradesh,4,359.49,723.79,1095.57,1191.15,1469.28,True
Oilseeds,Sehore,Madhya Pradesh,4,406.9,661.5,777.22,796.19,959.68,False
Oilseeds,Seoni / Shivani,Madhya Pradesh,4,307.52,475.24,519.51,544.21,686.25,False
Oilseeds,Shahabad (Now Part Of Bhojpur District),Bihar,4,318.4,164.61,318.4,484.04,722.69,False
Oilseeds,Shahdol,Madhya Pradesh,4,235.79,368.54,396.94,405.62,492.76,False
Oilseeds,Shahjahanpur,Uttar Pradesh,4,491.95,470.05,491.95,524.65,692.51,False
Oilseeds,Shajapur,Madhya Pradesh,4,756.8,738.64,756.8,763.11,864.48,False
Oilseeds,Shimla,Himachal Pradesh,4,178.55,156.15,187.56,254.47,379.67,False
Oilseeds,Shimoge,Karnataka,4,370.76,141.01,382.54,622.67,921.7,False
Oilseeds,Shivpuri,Madhya Pradesh,4,398.96,608.26,629.88,653.58,817.7,False
Oilseeds,Sibsagar,Assam,4,135.52,103.21,135.52,194.26,293.52,False
Oilseeds,Sidhi,Madhya Pradesh,4,260.94,282.11,292.76,340.48,480.51,False
Oilseeds,Sikar,Rajasthan,4,351.5,116.55,459.34,688.54,1020.99,False
Oilseeds,Singhbhum,Jharkhand,4,478.84,475.22,478.84,525.8,714.15,False
Oilseeds,Sirmaur,Himachal Pradesh,4,156.14,86.34,288.73,382.28,562.2,False
Oilseeds,Sirohi,Rajasthan,4,371.36,187.71,406.3,619.67,938.09,False
Oilseeds,Sitapur,Uttar Pradesh,4,423.15,417.42,423.15,448.66,584.83,False
Oilseeds,Solan,Himachal Pradesh,4,67.14,132.74,278.72,313.22,387.07,False
Oilseeds,Solapur,Maharashtra,4,450.49,470.86,450.49,467.42,573.71,False
Oilseeds,South Arcot / Cuddalore,Tamil Nadu,4,1258.27,924.27,1535.74,2037.99,3061.06,True
Oilseeds,Srikakulam,Andhra Pradesh,4,-685.07,-551.18,685.07,876.74,1269.85,False
Oilseeds,Sultanpur,Uttar Pradesh,4,393.97,419.88,393.97,412.2,511.05,False
Oilseeds,Sundargarh,Orissa,4,-82.52,-95.13,90.77,104.16,143.12,False
Oilseeds,Surat,Gujarat,4,355.9,427.38,355.9,383.91,456.19,False
Oilseeds,Surendranagar,Gujarat,4,611.03,623.88,700.25,822.03,1160.25,False
Oilseeds,Surguja,Chhattisgarh,4,198.21,191.77,204.47,283.91,409.24,False
Oilseeds,Swami Madhopur,Rajasthan,4,311.43,258.48,425.08,554.2,823.03,False
Oilseeds,Tehri Garhwal,Uttarakhand,4,125.52,228.81,423.37,469.59,626.82,False
Oilseeds,Thane,Maharashtra,4,165.5,155.15,165.5,204.23,293.37,False
Oilseeds,Thanjavur,Tamil Nadu,4,423.74,23.79,831.1,1199.42,1799.61,True
Oilseeds,Thirunelveli,Tamil Nadu,3,41.86,153.86,1086.82,1271.43,1561.79,True
Oilseeds,Thiruvananthapuram,Kerala,4,111.69,99.58,111.69,123.05,170.55,False
Oilseeds,Thrissur,Kerala,4,277.09,288.54,277.09,278.76,302.41,False
Oilseeds,Tikamgarh,Madhya Pradesh,4,242.71,520.37,661.45,685.65,816.51,False
Oilseeds,Tiruchirapalli / Trichy,Tamil Nadu,3,101.0,356.59,1441.97,1633.64,2000.74,True
Oilseeds,Tonk,Rajasthan,4,262.01,439.11,614.46,698.44,860.92,False
Oilseeds,Tumkur,Karnataka,4,306.72,359.91,306.72,348.37,453.82,False
Oilseeds,Udaipur,Rajasthan,4,322.04,277.37,322.04,380.15,544.37,False
Oilseeds,Ujjain,Madhya Pradesh,4,719.09,765.73,719.09,735.5,849.16,False
Oilseeds,Unnao,Uttar Pradesh,4,399.16,406.94,399.16,435.1,577.66,False
Oilseeds,Uttar Kashi,Uttarakhand,4,39.63,180.41,311.09,353.94,482.24,False
Oilseeds,Uttara Kannada,Karnataka,4,544.56,402.49,659.61,893.58,1348.36,False
Oilseeds,Vadodara / Baroda,Gujarat,4,440.28,216.56,459.75,703.61,1049.0,False
Oilseeds,Valsad,Gujarat,4,308.99,278.38,536.68,642.24,930.81,False
Oilseeds,Varanasi,Uttar Pradesh,4,720.94,751.06,720.94,792.72,1054.89,False
Oilseeds,Vidisha,Madhya Pradesh,4,364.85,585.99,588.0,598.25,707.52,False
Oilseeds,Visakhapatnam,Andhra Pradesh,4,-869.97,-491.74,1074.08,1534.99,2304.02,True
Oilseeds,Warangal,Telangana,4,400.39,61.54,400.39,738.27,1061.1,False
Oilseeds,Wardha,Maharashtra,4,340.57,309.71,340.57,413.64,602.99,False
