Unnamed: 0,Year,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),State_en
153,2011,Madhya Pradesh,Satna,82.4,135.9,1649.27,10
154,2012,Madhya Pradesh,Satna,85.38,197.67,2315.18,10
155,2013,Madhya Pradesh,Satna,82.07,188.56,2297.55,10
156,2014,Madhya Pradesh,Satna,104.0,201.33,1935.87,10
157,2015,Madhya Pradesh,Satna,104.0,238.0,2288.46,10
158,2016,Madhya Pradesh,Satna,120.0,393.33,3277.75,10
159,2017,Madhya Pradesh,Satna,132.0,324.8,2460.61,10
160,2010,Madhya Pradesh,Shahdol,236.6,227.1,959.85,10
161,2011,Madhya Pradesh,Shahdol,258.6,353.7,1367.75,10
162,2012,Madhya Pradesh,Shahdol,257.73,383.9,1489.54,10
163,2013,Madhya Pradesh,Shahdol,257.18,484.88,1885.37,10
164,2014,Madhya Pradesh,Shahdol,269.0,510.67,1898.4,10
165,2015,Madhya Pradesh,Shahdol,229.0,378.0,1650.66,10
166,2016,Madhya Pradesh,Shahdol,276.0,583.32,2113.48,10
167,2017,Madhya Pradesh,Shahdol,240.33,389.9,1622.35,10
168,2010,Madhya Pradesh,Gwalior,24.5,64.0,2612.24,10
169,2011,Madhya Pradesh,Gwalior,34.7,111.2,3204.61,10
170,2012,Madhya Pradesh,Gwalior,49.16,89.43,1819.16,10
171,2013,Madhya Pradesh,Gwalior,57.51,135.09,2348.98,10
172,2014,Madhya Pradesh,Gwalior,49.0,111.33,2272.04,10
173,2015,Madhya Pradesh,Gwalior,53.0,150.0,2830.19,10
174,2016,Madhya Pradesh,Gwalior,58.0,95.33,1643.62,10
175,2017,Madhya Pradesh,Gwalior,9.11,26.29,2885.84,10
176,2010,Madhya Pradesh,Shivpuri,8.3,13.2,1590.36,10
177,2011,Madhya Pradesh,Shivpuri,9.0,14.2,1577.78,10
178,2012,Madhya Pradesh,Shivpuri,13.4,19.88,1483.58,10
179,2013,Madhya Pradesh,Shivpuri,14.63,17.06,1166.1,10
180,2014,Madhya Pradesh,Shivpuri,14.0,17.33,1237.86,10
181,2015,Madhya Pradesh,Shivpuri,11.0,27.33,2484.55,10
182,2016,Madhya Pradesh,Shivpuri,14.0,39.33,2809.29,10
183,2017,Madhya Pradesh,Shivpuri,4.4,10.8,2454.55,10
184,2010,Madhya Pradesh,Guna,1.3,1.3,1000.0,10
185,2011,Madhya Pradesh,Guna,1.4,1.6,1142.86,10
186,2012,Madhya Pradesh,Guna,1.87,4.52,2417.11,10
187,2013,Madhya Pradesh,Guna,1.92,3.17,1651.04,10
188,2014,Madhya Pradesh,Guna,3.0,6.66,2220.0,10
189,2015,Madhya Pradesh,Guna,4.0,6.0,1500.0,10
190,2016,Madhya Pradesh,Guna,0.0,0.0,0.0,10
191,2017,Madhya Pradesh,Guna,5.71,9.11,1595.45,10
192,2010,Madhya Pradesh,Datia,5.7,7.1,1245.61,10
193,2011,Madhya Pradesh,Datia,5.0,6.2,1240.0,10
194,2012,Madhya Pradesh,Datia,8.08,16.53,2045.79,10
195,2013,Madhya Pradesh,Datia,12.14,13.9,1144.98,10
196,2014,Madhya Pradesh,Datia,30.0,29.33,977.67,10
197,2015,Madhya Pradesh,Datia,14.0,24.0,1714.29,10
198,2016,Madhya Pradesh,Datia,17.0,36.66,2156.47,10
199,2017,Madhya Pradesh,Datia,16.6,30.18,1818.07,10
200,2010,Madhya Pradesh,Morena,9.7,28.8,2969.07,10
201,2011,Madhya Pradesh,Morena,15.1,44.9,2973.51,10
202,2012,Madhya Pradesh,Morena,13.71,50.67,3695.84,10
203,2013,Madhya Pradesh,Morena,16.11,58.64,3639.98,10
204,2014,Madhya Pradesh,Morena,20.0,46.0,2300.0,10
205,2015,Madhya Pradesh,Morena,20.0,70.0,3500.0,10
206,2016,Madhya Pradesh,Morena,19.0,46.66,2455.79,10
207,2017,Madhya Pradesh,Morena,21.4,60.1,2808.41,10
208,2010,Madhya Pradesh,Bhind,5.6,15.3,2732.14,10
209,2011,Madhya Pradesh,Bhind,0.4,1.3,3250.0,10
210,2012,Madhya Pradesh,Bhind,4.62,12.47,2699.13,10
211,2013,Madhya Pradesh,Bhind,4.8,20.81,4335.42,10
212,2014,Madhya Pradesh,Bhind,6.0,20.67,3445.0,10
213,2015,Madhya Pradesh,Bhind,6.0,27.33,4555.0,10
214,2016,Madhya Pradesh,Bhind,7.0,15.33,2190.0,10
215,2017,Madhya Pradesh,Bhind,3.0,5.76,1920.0,10
216,2010,Madhya Pradesh,Indore,0.0,0.0,0.0,10
217,2011,Madhya Pradesh,Indore,0.0,0.0,0.0,10
218,2012,Madhya Pradesh,Indore,0.0,0.0,0.0,10
219,2013,Madhya Pradesh,Indore,0.01,0.0,0.0,10
220,2014,Madhya Pradesh,Indore,0.0,0.0,0.0,10
221,2015,Madhya Pradesh,Indore,0.0,0.0,0.0,10
222,2016,Madhya Pradesh,Indore,0.0,0.0,0.0,10
223,2017,Madhya Pradesh,Indore,0.45,1.02,2266.67,10
224,2010,Madhya Pradesh,Ratlam,1.7,1.3,764.71,10
225,2011,Madhya Pradesh,Ratlam,1.9,1.8,947.37,10
226,2012,Madhya Pradesh,Ratlam,1.36,1.55,1139.71,10
227,2013,Madhya Pradesh,Ratlam,1.29,1.55,1201.55,10
228,2014,Madhya Pradesh,Ratlam,0.0,0.0,0.0,10
229,2015,Madhya Pradesh,Ratlam,0.0,0.0,0.0,10
230,2016,Madhya Pradesh,Ratlam,1.0,0.66,660.0,10
231,2017,Madhya Pradesh,Ratlam,0.0,0.0,0.0,10
232,2010,Madhya Pradesh,Ujjain,0.0,0.0,0.0,10
233,2011,Madhya Pradesh,Ujjain,0.0,0.0,0.0,10
234,2012,Madhya Pradesh,Ujjain,0.0,0.0,0.0,10
235,2013,Madhya Pradesh,Ujjain,0.0,0.0,0.0,10
236,2014,Madhya Pradesh,Ujjain,0.0,0.0,0.0,10
237,2015,Madhya Pradesh,Ujjain,0.0,0.0,0.0,10
238,2016,Madhya Pradesh,Ujjain,0.0,0.0,0.0,10
239,2017,Madhya Pradesh,Ujjain,0.2,0.38,1900.0,10
240,2010,Madhya Pradesh,Mandsaur,0.0,0.0,0.0,10
241,2011,Madhya Pradesh,Mandsaur,0.0,0.0,0.0,10
242,2012,Madhya Pradesh,Mandsaur,0.04,0.02,500.0,10
243,2013,Madhya Pradesh,Mandsaur,0.04,0.01,250.0,10
244,2014,Madhya Pradesh,Mandsaur,0.0,0.0,0.0,10
245,2015,Madhya Pradesh,Mandsaur,0.0,0.0,0.0,10
246,2016,Madhya Pradesh,Mandsaur,0.0,0.0,0.0,10
247,2017,Madhya Pradesh,Mandsaur,0.8,1.76,2200.0,10
248,2010,Madhya Pradesh,Dewas,0.2,0.2,1000.0,10
249,2011,Madhya Pradesh,Dewas,0.2,0.2,1000.0,10
250,2012,Madhya Pradesh,Dewas,0.14,0.12,857.14,10
251,2013,Madhya Pradesh,Dewas,0.11,0.08,727.27,10
252,2014,Madhya Pradesh,Dewas,1.0,0.67,670.0,10
253,2015,Madhya Pradesh,Dewas,0.0,0.0,0.0,10
254,2016,Madhya Pradesh,Dewas,0.0,0.0,0.0,10
255,2017,Madhya Pradesh,Dewas,0.1,0.07,730.0,10
256,2010,Madhya Pradesh,Dhar,1.2,0.9,750.0,10
257,2011,Madhya Pradesh,Dhar,1.3,1.1,846.15,10
258,2012,Madhya Pradesh,Dhar,0.76,0.66,868.42,10
259,2013,Madhya Pradesh,Dhar,0.66,0.5,757.58,10
260,2014,Madhya Pradesh,Dhar,1.0,0.67,670.0,10
261,2015,Madhya Pradesh,Dhar,0.0,0.0,0.0,10
262,2016,Madhya Pradesh,Dhar,0.0,0.0,0.0,10
263,2017,Madhya Pradesh,Dhar,0.73,1.05,1442.47,10
264,2010,Madhya Pradesh,Jhabua,19.9,13.6,683.42,10
265,2011,Madhya Pradesh,Jhabua,20.9,14.8,708.13,10
266,2012,Madhya Pradesh,Jhabua,18.98,9.64,507.9,10
267,2013,Madhya Pradesh,Jhabua,18.82,24.32,1292.24,10
268,2014,Madhya Pradesh,Jhabua,16.0,11.34,708.75,10
269,2015,Madhya Pradesh,Jhabua,15.0,11.33,755.33,10
270,2016,Madhya Pradesh,Jhabua,17.0,19.99,1175.88,10
271,2017,Madhya Pradesh,Jhabua,13.63,16.77,1230.37,10
272,2010,Madhya Pradesh,Khargone / West Nimar,4.3,3.3,767.44,10
273,2011,Madhya Pradesh,Khargone / West Nimar,3.6,2.9,805.56,10
274,2012,Madhya Pradesh,Khargone / West Nimar,3.09,2.47,799.35,10
275,2013,Madhya Pradesh,Khargone / West Nimar,2.83,1.21,427.56,10
276,2014,Madhya Pradesh,Khargone / West Nimar,2.0,4.0,2000.0,10
277,2015,Madhya Pradesh,Khargone / West Nimar,2.0,0.67,335.0,10
278,2016,Madhya Pradesh,Khargone / West Nimar,1.0,0.66,660.0,10
279,2017,Madhya Pradesh,Khargone / West Nimar,1.76,1.94,1100.0,10
280,2010,Madhya Pradesh,Khandwa / East Nimar,8.6,11.7,1360.47,10
281,2011,Madhya Pradesh,Khandwa / East Nimar,7.6,9.4,1236.84,10
282,2012,Madhya Pradesh,Khandwa / East Nimar,5.1,7.73,1515.69,10
283,2013,Madhya Pradesh,Khandwa / East Nimar,4.88,3.92,803.28,10
284,2014,Madhya Pradesh,Khandwa / East Nimar,8.0,10.0,1250.0,10
285,2015,Madhya Pradesh,Khandwa / East Nimar,7.0,3.33,475.71,10
286,2016,Madhya Pradesh,Khandwa / East Nimar,8.0,7.33,916.25,10
287,2017,Madhya Pradesh,Khandwa / East Nimar,5.89,3.38,573.85,10
288,2010,Madhya Pradesh,Sehore,6.6,7.2,1090.91,10
289,2011,Madhya Pradesh,Sehore,13.1,22.1,1687.02,10
290,2012,Madhya Pradesh,Sehore,17.98,45.87,2551.17,10
291,2013,Madhya Pradesh,Sehore,20.18,61.92,3068.38,10
292,2014,Madhya Pradesh,Sehore,46.0,147.33,3202.83,10
293,2015,Madhya Pradesh,Sehore,33.0,116.67,3535.45,10
294,2016,Madhya Pradesh,Sehore,24.0,94.67,3944.58,10
295,2017,Madhya Pradesh,Sehore,36.45,71.99,1975.03,10
296,2010,Madhya Pradesh,Raisen,26.2,33.2,1267.18,10
297,2011,Madhya Pradesh,Raisen,21.5,30.7,1427.91,10
298,2012,Madhya Pradesh,Raisen,35.34,45.38,1284.1,10
299,2013,Madhya Pradesh,Raisen,62.69,54.14,863.61,10
300,2014,Madhya Pradesh,Raisen,137.0,342.67,2501.24,10
301,2015,Madhya Pradesh,Raisen,99.0,226.67,2289.6,10
302,2016,Madhya Pradesh,Raisen,135.0,304.66,2256.74,10
303,2017,Madhya Pradesh,Raisen,112.0,236.84,2114.64,10
304,2010,Madhya Pradesh,Vidisha,0.4,0.4,1000.0,10
305,2011,Madhya Pradesh,Vidisha,0.4,0.4,1000.0,10
306,2012,Madhya Pradesh,Vidisha,0.27,0.27,1000.0,10
307,2013,Madhya Pradesh,Vidisha,1.5,0.84,560.0,10
308,2014,Madhya Pradesh,Vidisha,4.0,3.33,832.5,10
309,2015,Madhya Pradesh,Vidisha,3.0,4.0,1333.33,10
310,2016,Madhya Pradesh,Vidisha,3.0,4.0,1333.33,10
311,2017,Madhya Pradesh,Vidisha,10.5,23.8,2266.67,10
312,2010,Madhya Pradesh,Betul,43.7,60.8,1391.3,10
313,2011,Madhya Pradesh,Betul,42.1,65.8,1562.95,10
314,2012,Madhya Pradesh,Betul,44.86,121.76,2714.22,10
315,2013,Madhya Pradesh,Betul,43.84,98.85,2254.79,10
316,2014,Madhya Pradesh,Betul,47.0,105.33,2241.06,10
317,2015,Madhya Pradesh,Betul,42.0,72.0,1714.29,10
318,2016,Madhya Pradesh,Betul,55.0,97.33,1769.64,10
319,2017,Madhya Pradesh,Betul,45.0,79.11,1758.0,10
320,2010,Madhya Pradesh,Rajgarh,0.5,0.4,800.0,10
321,2011,Madhya Pradesh,Rajgarh,0.6,0.5,833.33,10
322,2012,Madhya Pradesh,Rajgarh,0.42,0.34,809.52,10
323,2013,Madhya Pradesh,Rajgarh,0.36,0.24,666.67,10
324,2014,Madhya Pradesh,Rajgarh,1.0,0.67,670.0,10
325,2015,Madhya Pradesh,Rajgarh,1.0,1.33,1330.0,10
326,2016,Madhya Pradesh,Rajgarh,1.0,2.66,2660.0,10
327,2017,Madhya Pradesh,Rajgarh,1.15,0.75,648.7,10
328,2010,Madhya Pradesh,Shajapur,0.1,0.1,1000.0,10
329,2011,Madhya Pradesh,Shajapur,0.1,0.1,1000.0,10
330,2012,Madhya Pradesh,Shajapur,0.07,0.04,571.43,10
331,2013,Madhya Pradesh,Shajapur,0.04,0.02,500.0,10
332,2014,Madhya Pradesh,Shajapur,0.0,0.0,0.0,10
333,2015,Madhya Pradesh,Shajapur,0.0,0.0,0.0,10
334,2016,Madhya Pradesh,Shajapur,0.0,0.0,0.0,10
335,2017,Madhya Pradesh,Shajapur,0.05,0.04,800.0,10
336,2010,Madhya Pradesh,Hoshangabad,24.1,55.6,2307.05,10
337,2011,Madhya Pradesh,Hoshangabad,26.0,52.3,2011.54,10
338,2012,Madhya Pradesh,Hoshangabad,30.05,61.74,2054.58,10
339,2013,Madhya Pradesh,Hoshangabad,41.8,65.92,1577.03,10
340,2014,Madhya Pradesh,Hoshangabad,103.0,190.67,1851.17,10
341,2015,Madhya Pradesh,Hoshangabad,111.0,316.67,2852.88,10
342,2016,Madhya Pradesh,Hoshangabad,122.0,280.66,2300.49,10
343,2017,Madhya Pradesh,Hoshangabad,136.8,312.65,2285.45,10
344,2010,Andhra Pradesh,Srikakulam,279.72,358.64,1282.12,0
345,2011,Andhra Pradesh,Srikakulam,272.7,537.7,1971.75,0
346,2012,Andhra Pradesh,Srikakulam,271.63,689.11,2537.01,0
347,2013,Andhra Pradesh,Srikakulam,261.53,500.73,1914.64,0
348,2014,Andhra Pradesh,Srikakulam,272.51,613.59,2251.58,0
349,2015,Andhra Pradesh,Srikakulam,270.13,664.52,2459.96,0
350,2016,Andhra Pradesh,Srikakulam,268.4,801.97,2987.93,0
351,2017,Andhra Pradesh,Srikakulam,279.15,735.77,2635.76,0
352,2010,Andhra Pradesh,Visakhapatnam,184.32,376.1,2040.45,0
353,2011,Andhra Pradesh,Visakhapatnam,174.41,303.62,1740.86,0
354,2012,Andhra Pradesh,Visakhapatnam,166.65,312.24,1873.71,0
355,2013,Andhra Pradesh,Visakhapatnam,163.79,330.13,2015.54,0
356,2014,Andhra Pradesh,Visakhapatnam,167.72,343.73,2049.37,0
357,2015,Andhra Pradesh,Visakhapatnam,170.96,416.89,2438.59,0
358,2016,Andhra Pradesh,Visakhapatnam,172.56,436.84,2531.46,0
359,2017,Andhra Pradesh,Visakhapatnam,173.38,421.22,2429.45,0
360,2010,Andhra Pradesh,East Godavari,410.53,1357.62,3306.99,0
361,2011,Andhra Pradesh,East Godavari,337.09,1176.83,3491.14,0
362,2012,Andhra Pradesh,East Godavari,401.06,1101.91,2747.49,0
363,2013,Andhra Pradesh,East Godavari,404.68,1211.71,2994.24,0
364,2014,Andhra Pradesh,East Godavari,394.12,1563.23,3966.38,0
365,2015,Andhra Pradesh,East Godavari,381.74,1445.57,3786.79,0
366,2016,Andhra Pradesh,East Godavari,383.96,1627.03,4237.51,0
367,2017,Andhra Pradesh,East Godavari,386.54,1672.79,4327.61,0
368,2010,Andhra Pradesh,West Godavari,456.52,1490.32,3264.52,0
369,2011,Andhra Pradesh,West Godavari,363.79,1308.47,3596.77,0
370,2012,Andhra Pradesh,West Godavari,422.51,1289.34,3051.62,0
371,2013,Andhra Pradesh,West Godavari,420.62,1342.34,3191.34,0
372,2014,Andhra Pradesh,West Godavari,409.29,1624.32,3968.63,0
373,2015,Andhra Pradesh,West Godavari,403.8,1558.51,3859.61,0
374,2016,Andhra Pradesh,West Godavari,399.41,1666.1,4171.38,0
375,2017,Andhra Pradesh,West Godavari,393.22,1693.91,4307.75,0
376,2010,Andhra Pradesh,Krishna,355.34,1090.69,3069.43,0
377,2011,Andhra Pradesh,Krishna,272.03,1011.54,3718.49,0
378,2012,Andhra Pradesh,Krishna,264.53,950.52,3593.24,0
379,2013,Andhra Pradesh,Krishna,363.32,1175.52,3235.49,0
380,2014,Andhra Pradesh,Krishna,288.04,998.8,3467.57,0
381,2015,Andhra Pradesh,Krishna,220.68,762.64,3455.86,0
382,2016,Andhra Pradesh,Krishna,231.41,897.72,3879.35,0
383,2017,Andhra Pradesh,Krishna,258.73,1031.95,3988.57,0
384,2010,Andhra Pradesh,Guntur,401.59,1090.52,2715.51,0
385,2011,Andhra Pradesh,Guntur,347.32,1316.41,3790.21,0
386,2012,Andhra Pradesh,Guntur,206.87,725.08,3504.99,0
