district_id,state,district,year,preseason_rainfall_mm,preseason_rainfall_normal_mm,preseason_rainfall_anomaly_pct,preseason_temp_mean_c,preseason_temp_max_c,preseason_temp_min_c,preseason_temp_anomaly_c,preseason_soil_moisture_index,preseason_dry_spell_days,rainfall_lag1_annual_mm,irrigation_ratio_lag1,source_id
CHH_DUR_001,Chhattisgarh,Durg,1978,139.54,148.4,-5.97,30.64,38.7,20.98,-0.41,0.3976,28,640.02,0.3521,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1979,131.67,148.4,-11.27,31.6,39.85,21.75,0.54,0.3915,32,718.99,0.3683,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1980,130.72,148.4,-11.91,31.23,39.4,21.45,0.17,0.3912,31,688.87,0.3718,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1981,134.26,148.4,-9.53,31.26,39.45,21.48,0.21,0.395,31,600.32,0.353,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1982,145.16,148.4,-2.18,31.85,40.16,21.94,0.8,0.4047,30,707.21,0.378,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1983,144.09,148.4,-2.9,31.01,39.16,21.27,-0.04,0.4071,29,761.06,0.3864,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1984,143.83,148.4,-3.08,31.85,40.18,21.93,0.8,0.4107,31,534.65,0.3822,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1985,147.59,148.4,-0.55,31.06,39.23,21.28,0.0,0.4174,28,755.25,0.3571,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1986,148.34,148.4,-0.04,31.26,39.49,21.43,0.21,0.4222,28,860.99,0.3748,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1987,146.96,148.4,-0.97,30.86,39.02,21.1,-0.2,0.4254,28,802.59,0.3863,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1988,151.56,148.4,2.13,31.2,39.45,21.36,0.15,0.4322,28,716.95,0.3957,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1989,152.48,148.4,2.75,30.81,38.98,21.04,-0.24,0.436,27,653.09,0.3744,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1990,161.26,148.4,8.67,30.99,39.21,21.17,-0.06,0.4442,26,658.3,0.3897,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1991,149.86,148.4,0.99,30.67,38.84,20.91,-0.38,0.4379,27,605.0,0.387,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1992,159.09,148.4,7.2,30.97,39.2,21.13,-0.09,0.4444,26,761.74,0.3997,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1993,161.57,148.4,8.87,30.75,38.94,20.95,-0.31,0.4453,25,442.03,0.4007,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1994,158.91,148.4,7.08,31.75,40.14,21.75,0.69,0.4417,28,572.79,0.407,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1995,156.36,148.4,5.36,30.29,38.39,20.58,-0.77,0.4373,25,681.02,0.4145,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1996,159.92,148.4,7.77,30.4,38.53,20.67,-0.66,0.4362,25,711.84,0.396,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1997,155.71,148.4,4.93,31.66,40.03,21.68,0.6,0.4294,28,537.9,0.4073,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1998,149.27,148.4,0.59,30.61,38.77,20.85,-0.45,0.4208,27,516.2,0.4167,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,1999,137.97,148.4,-7.03,31.04,39.28,21.2,-0.02,0.4089,30,592.83,0.4345,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,2000,137.21,148.4,-7.54,30.77,38.94,20.99,-0.29,0.4044,29,757.76,0.4097,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,2001,142.06,148.4,-4.27,31.47,39.78,21.57,0.42,0.4042,30,587.64,0.4268,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,2002,140.37,148.4,-5.41,31.32,39.58,21.46,0.27,0.4002,30,635.5,0.4148,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,2003,140.94,148.4,-5.03,31.19,39.41,21.36,0.13,0.3987,30,765.38,0.4345,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,2004,131.67,148.4,-11.27,31.22,39.44,21.4,0.17,0.3916,31,771.14,0.4269,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,2005,150.12,148.4,1.16,31.37,39.61,21.54,0.32,0.4042,28,645.94,0.4436,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,2006,130.52,148.4,-12.05,31.55,39.81,21.69,0.5,0.3922,32,819.4,0.4318,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,2007,146.0,148.4,-1.62,31.44,39.68,21.61,0.39,0.4049,29,771.46,0.462,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,2008,139.4,148.4,-6.06,31.01,39.15,21.27,-0.04,0.4035,29,609.35,0.4378,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,2009,143.17,148.4,-3.52,31.48,39.7,21.65,0.42,0.4097,30,676.05,0.4573,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,2010,155.91,148.4,5.06,31.44,39.75,21.52,0.38,0.4285,28,607.69,0.4792,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,2011,155.87,148.4,5.04,30.61,38.74,20.88,-0.44,0.4272,26,522.41,0.4598,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,2012,136.4,148.4,-8.08,31.74,40.0,21.88,0.69,0.3979,32,631.75,0.4573,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,2013,154.18,148.4,3.89,30.15,38.23,20.47,-0.91,0.4411,25,552.1,0.4696,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,2014,123.23,148.4,-16.96,31.36,39.46,21.66,0.3,0.3538,33,604.42,0.4679,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,2015,118.29,148.4,-20.29,32.02,40.23,22.2,0.96,0.3527,35,606.47,0.4556,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,2016,177.69,148.4,19.74,31.78,40.02,21.93,0.72,0.4805,25,706.96,0.4805,IMD_NASA_ICRISAT_INTEGRATED
CHH_DUR_001,Chhattisgarh,Durg,2017,135.51,148.4,-8.68,30.88,39.0,21.15,-0.18,0.4091,30,685.26,0.4781,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1966,169.16,153.34,10.32,32.7,41.21,22.6,1.28,0.4473,29,818.48,0.3314,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1967,172.43,153.34,12.45,31.46,39.71,21.6,0.03,0.4496,26,743.63,0.3306,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1968,159.34,153.34,3.91,31.14,39.33,21.36,-0.28,0.4401,27,717.39,0.3268,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1969,180.19,153.34,17.51,30.54,38.59,20.89,-0.88,0.4518,22,791.2,0.3129,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1970,158.12,153.34,3.12,31.78,40.07,21.89,0.36,0.4346,29,716.42,0.3212,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1971,153.86,153.34,0.34,31.68,39.93,21.82,0.25,0.4283,29,625.5,0.3372,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1972,156.47,153.34,2.04,31.2,39.35,21.46,-0.22,0.426,28,828.76,0.3443,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1973,138.51,153.34,-9.67,31.6,39.81,21.78,0.17,0.41,32,581.22,0.3495,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1974,144.36,153.34,-5.85,31.53,39.72,21.74,0.11,0.4096,30,657.64,0.3527,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1975,138.6,153.34,-9.61,31.49,39.67,21.72,0.07,0.4018,31,570.34,0.3405,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1976,157.51,153.34,2.72,31.83,40.06,22.0,0.4,0.4107,29,507.54,0.3592,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1977,158.17,153.34,3.15,32.11,40.39,22.23,0.68,0.4085,29,495.93,0.3482,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1978,150.75,153.34,-1.69,31.43,39.58,21.69,0.01,0.4019,29,670.04,0.3637,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1979,134.41,153.34,-12.34,31.7,39.9,21.91,0.28,0.3905,32,398.4,0.3488,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1980,139.5,153.34,-9.03,31.22,39.32,21.52,-0.2,0.3941,30,815.01,0.3477,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1981,139.12,153.34,-9.27,31.76,39.97,21.95,0.33,0.3952,32,827.06,0.3506,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1982,152.33,153.34,-0.66,31.68,39.88,21.88,0.26,0.4062,29,658.19,0.3726,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1983,147.63,153.34,-3.72,31.4,39.55,21.65,-0.02,0.4063,30,762.1,0.3671,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1984,149.7,153.34,-2.37,31.86,40.12,22.01,0.44,0.4114,30,895.89,0.3616,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1985,167.21,153.34,9.04,30.76,38.81,21.12,-0.66,0.427,25,760.66,0.3829,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1986,156.93,153.34,2.34,31.24,39.39,21.49,-0.19,0.4245,28,750.83,0.3751,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1987,153.63,153.34,0.19,31.77,40.04,21.9,0.34,0.4265,30,782.2,0.3761,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1988,167.03,153.34,8.93,31.49,39.72,21.67,0.07,0.439,27,797.82,0.3923,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1989,156.81,153.34,2.27,31.09,39.24,21.33,-0.34,0.4355,27,767.02,0.3951,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1990,164.28,153.34,7.13,31.31,39.52,21.5,-0.12,0.4427,27,782.01,0.3861,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1991,169.32,153.34,10.42,31.13,39.32,21.35,-0.29,0.4473,26,636.06,0.406,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1992,171.53,153.34,11.86,31.5,39.77,21.64,0.07,0.449,26,735.61,0.3982,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1993,169.94,153.34,10.83,31.02,39.2,21.25,-0.4,0.4472,25,641.29,0.3997,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1994,164.45,153.34,7.24,31.37,39.62,21.52,-0.06,0.4418,27,542.3,0.4249,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1995,154.58,153.34,0.81,30.64,38.74,20.94,-0.79,0.4327,27,701.87,0.4149,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1996,163.86,153.34,6.86,31.38,39.63,21.53,-0.04,0.4353,27,618.6,0.401,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1997,157.08,153.34,2.44,30.88,39.03,21.13,-0.55,0.4269,27,715.7,0.4115,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1998,147.56,153.34,-3.77,31.05,39.23,21.28,-0.37,0.4165,29,694.6,0.4104,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,1999,144.54,153.34,-5.74,31.32,39.54,21.5,-0.11,0.4102,30,708.17,0.4139,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,2000,144.21,153.34,-5.95,31.36,39.58,21.54,-0.06,0.406,30,599.89,0.4079,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,2001,139.92,153.34,-8.75,31.24,39.42,21.45,-0.19,0.3997,31,764.95,0.4398,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,2002,149.28,153.34,-2.65,31.32,39.5,21.53,-0.11,0.403,29,757.39,0.418,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,2003,141.62,153.34,-7.64,31.32,39.5,21.55,-0.1,0.3961,30,795.97,0.4227,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,2004,144.86,153.34,-5.53,32.11,40.43,22.19,0.69,0.3973,32,763.88,0.438,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,2005,146.21,153.34,-4.65,31.39,39.56,21.63,-0.03,0.3984,30,783.85,0.4371,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,2006,142.82,153.34,-6.86,31.3,39.44,21.56,-0.13,0.3974,30,752.86,0.445,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,2007,154.14,153.34,0.52,32.03,40.31,22.16,0.61,0.407,30,901.44,0.4353,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,2008,152.15,153.34,-0.78,31.76,39.97,21.94,0.33,0.4087,30,878.34,0.4379,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,2009,142.46,153.34,-7.09,31.47,39.62,21.72,0.04,0.4061,31,505.78,0.4437,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,2010,155.54,153.34,1.44,31.29,39.5,21.47,-0.14,0.4248,28,677.13,0.4708,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,2011,163.25,153.34,6.46,31.09,39.25,21.34,-0.33,0.4287,26,556.46,0.4599,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,2012,133.1,153.34,-13.2,32.56,40.9,22.61,1.13,0.3928,35,708.01,0.4533,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,2013,153.27,153.34,-0.04,31.67,39.98,21.76,0.24,0.4372,29,598.23,0.4734,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,2014,114.26,153.34,-25.49,31.99,40.14,22.23,0.56,0.3453,36,610.65,0.4645,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,2015,125.57,153.34,-18.11,32.57,40.82,22.72,1.15,0.3549,36,536.43,0.4656,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,2016,181.81,153.34,18.56,32.13,40.37,22.29,0.71,0.4794,26,697.9,0.4588,IMD_NASA_ICRISAT_INTEGRATED
CHH_BAS_002,Chhattisgarh,Bastar,2017,139.23,153.34,-9.2,32.14,40.44,22.23,0.71,0.4086,33,692.08,0.4655,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1966,166.67,144.12,15.65,30.52,38.73,20.71,-0.22,0.4526,23,820.69,0.3207,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1967,170.44,144.12,18.26,31.21,39.55,21.27,0.47,0.4554,24,702.71,0.3327,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1968,159.63,144.12,10.76,31.1,39.4,21.19,0.36,0.447,26,633.55,0.3329,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1969,161.32,144.12,11.93,29.89,37.95,20.24,-0.84,0.4462,22,597.36,0.3086,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1970,149.87,144.12,3.99,30.94,39.2,21.08,0.21,0.4355,27,788.7,0.3327,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1971,161.17,144.12,11.83,30.16,38.25,20.47,-0.57,0.4398,23,506.53,0.3344,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1972,149.51,144.12,3.74,30.76,38.96,20.96,0.03,0.4277,26,452.33,0.3371,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1973,134.5,144.12,-6.68,31.1,39.35,21.25,0.37,0.413,30,625.36,0.3316,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1974,137.35,144.12,-4.7,30.46,38.58,20.75,-0.27,0.4107,28,575.12,0.3536,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1975,131.29,144.12,-8.9,31.14,39.38,21.3,0.4,0.4026,30,529.33,0.3391,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1976,135.32,144.12,-6.1,30.56,38.68,20.84,-0.17,0.4019,28,527.54,0.338,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1977,148.44,144.12,3.0,31.02,39.22,21.22,0.29,0.4083,27,524.38,0.3551,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1978,132.3,144.12,-8.2,30.94,39.12,21.15,0.2,0.3954,30,645.52,0.3636,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1979,128.79,144.12,-10.64,30.8,38.96,21.05,0.07,0.3922,30,596.15,0.336,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1980,121.91,144.12,-15.41,31.58,39.89,21.67,0.84,0.3877,33,774.87,0.3595,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1981,137.89,144.12,-4.33,31.14,39.36,21.31,0.41,0.4002,29,915.27,0.3762,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1982,134.37,144.12,-6.76,30.61,38.73,20.88,-0.13,0.4001,29,563.9,0.37,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1983,131.96,144.12,-8.44,30.38,38.47,20.7,-0.35,0.4015,29,659.3,0.3602,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1984,152.08,144.12,5.52,31.26,39.53,21.39,0.52,0.4193,27,722.13,0.3888,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1985,143.28,144.12,-0.58,30.51,38.64,20.78,-0.22,0.4173,27,848.18,0.3824,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1986,138.13,144.12,-4.16,30.72,38.91,20.94,-0.01,0.418,28,651.29,0.3662,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1987,155.05,144.12,7.58,31.5,39.85,21.55,0.77,0.4339,27,596.44,0.3886,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1988,146.21,144.12,1.45,30.48,38.64,20.72,-0.25,0.4316,26,641.34,0.3774,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1989,153.34,144.12,6.4,30.29,38.42,20.55,-0.45,0.4396,25,686.35,0.3885,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1990,152.82,144.12,6.04,30.2,38.33,20.48,-0.53,0.4416,25,592.78,0.3996,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1991,159.04,144.12,10.35,30.13,38.25,20.41,-0.6,0.4472,23,622.13,0.4025,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1992,143.61,144.12,-0.35,30.7,38.94,20.86,-0.03,0.4368,27,540.21,0.4037,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1993,149.61,144.12,3.81,29.73,37.79,20.08,-1.0,0.4402,24,448.15,0.4015,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1994,155.77,144.12,8.09,30.08,38.2,20.35,-0.66,0.4427,24,622.3,0.3874,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1995,151.61,144.12,5.2,29.95,38.05,20.25,-0.78,0.4371,24,520.44,0.4075,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1996,143.59,144.12,-0.37,30.29,38.46,20.52,-0.45,0.4281,27,662.82,0.4042,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1997,153.14,144.12,6.26,30.01,38.12,20.3,-0.73,0.4307,24,641.73,0.4274,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1998,126.48,144.12,-12.24,30.17,38.31,20.43,-0.56,0.408,29,667.95,0.414,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,1999,144.09,144.12,-0.02,30.29,38.44,20.54,-0.45,0.4159,26,654.09,0.4174,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,2000,147.13,144.12,2.09,30.68,38.9,20.86,-0.06,0.414,27,699.71,0.4179,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,2001,132.86,144.12,-7.81,30.46,38.62,20.69,-0.28,0.4006,29,727.13,0.4208,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,2002,136.59,144.12,-5.23,31.52,39.88,21.55,0.78,0.4004,31,782.97,0.4247,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,2003,141.88,144.12,-1.56,30.58,38.75,20.82,-0.15,0.4022,27,560.8,0.4209,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,2004,119.16,144.12,-17.32,30.67,38.84,20.89,-0.07,0.3855,32,727.6,0.4508,IMD_NASA_ICRISAT_INTEGRATED
CHH_RAI_003,Chhattisgarh,Raipur,2005,135.1,144.12,-6.26,30.78,38.96,20.99,0.04,0.3968,29,786.22,0.4149,IMD_NASA_ICRISAT_INTEGRATED
