State Name,State Code,Dist Name,Year,Rice Area (1000 ha),Rice Production (1000 tons),Actual Yield (Kg/ha),Predicted Yield (Kg/ha),Residual (Kg/ha),Absolute Error (Kg/ha),Percentage Error (%)
Uttar Pradesh,12,Fatehpur,2012,77.16,189.52,2456.19,2436.3,19.89,19.89,0.81
Rajasthan,10,Jaisalmer,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Telangana,20,Khammam,2013,191.78,575.28,2999.69,2935.18,64.51,64.51,2.15
West Bengal,13,Cooch Behar,2010,275.29,656.87,2386.1,2322.51,63.59,63.59,2.67
Madhya Pradesh,6,Panna,2016,69.0,179.33,2598.99,2484.56,114.43,114.43,4.4
Andhra Pradesh,1,Ananthapur,2013,40.4,87.94,2176.73,2007.99,168.74,168.74,7.75
Madhya Pradesh,6,Dewas,2014,1.0,0.67,670.0,0.0,670.0,670.0,100.0
Tamil Nadu,11,Tiruchirapalli / Trichy,2012,85.54,259.44,3032.89,2925.77,107.12,107.12,3.53
Himachal Pradesh,18,Chamba,2013,2.54,3.06,1204.72,0.0,1204.72,1204.72,100.0
Orissa,8,Puri,2011,332.69,434.65,1306.47,1251.46,55.01,55.01,4.21
Madhya Pradesh,6,Mandla,2015,215.0,365.33,1699.21,1754.02,-54.81,54.81,3.23
Uttar Pradesh,12,Mainpuri,2015,88.43,229.4,2594.1,2517.97,76.13,76.13,2.93
Madhya Pradesh,6,Bhind,2013,4.8,20.81,4335.42,2676.48,1658.94,1658.94,38.26
Rajasthan,10,Alwar,2014,0.35,0.77,2200.0,0.0,2200.0,2200.0,100.0
Rajasthan,10,Barmer,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madhya Pradesh,6,Raisen,2011,21.5,30.7,1427.91,1303.13,124.78,124.78,8.74
Telangana,20,Hyderabad,2014,34.88,91.21,2614.97,2605.81,9.16,9.16,0.35
Maharashtra,7,Osmanabad,2014,18.9,3.6,190.48,0.0,190.48,190.48,100.0
Uttarakhand,16,Pithorgarh,2013,27.01,37.7,1395.78,1242.67,153.11,153.11,10.97
Uttar Pradesh,12,Etah,2017,28.79,71.3,2476.44,2338.53,137.91,137.91,5.57
Orissa,8,Bolangir,2014,334.45,1073.18,3208.79,3197.03,11.76,11.76,0.37
Himachal Pradesh,18,Kinnaur,2013,0.01,0.02,2000.0,0.0,2000.0,2000.0,100.0
Chhattisgarh,14,Surguja,2014,381.43,687.04,1801.22,1719.54,81.68,81.68,4.53
Uttarakhand,16,Garhwal,2016,10.85,15.18,1398.36,1346.81,51.55,51.55,3.69
Uttar Pradesh,12,Mainpuri,2016,78.27,197.92,2528.67,2498.35,30.32,30.32,1.2
Rajasthan,10,Jaisalmer,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haryana,4,Jind,2012,143.25,410.16,2863.19,2769.16,94.03,94.03,3.28
Gujarat,3,Panchmahal,2014,110.17,105.99,962.05,979.48,-17.43,17.43,1.81
Karnataka,5,Raichur,2015,166.0,527.46,3177.47,3131.13,46.34,46.34,1.46
Telangana,20,Adilabad,2010,90.55,255.15,2817.78,2736.52,81.26,81.26,2.88
Tamil Nadu,11,The Nilgiris,2013,0.33,1.42,4303.03,0.0,4303.03,4303.03,100.0
Orissa,8,Koraput,2017,401.48,898.1,2236.97,2141.52,95.45,95.45,4.27
Telangana,20,Khammam,2016,121.0,445.76,3683.86,3560.18,123.68,123.68,3.36
Assam,17,Nagaon,2012,259.56,564.62,2175.3,2166.62,8.68,8.68,0.4
Madhya Pradesh,6,Indore,2013,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Madhya Pradesh,6,Raisen,2013,62.69,54.14,863.61,900.84,-37.23,37.23,4.31
Rajasthan,10,Bharatpur,2013,2.36,4.73,2004.24,1429.12,575.12,575.12,28.7
Karnataka,5,Shimoge,2013,124.62,380.81,3055.77,3047.95,7.82,7.82,0.26
Haryana,4,Rohtak,2010,164.35,324.04,1971.63,1938.72,32.91,32.91,1.67
Himachal Pradesh,18,Chamba,2015,2.49,3.0,1204.82,0.0,1204.82,1204.82,100.0
Andhra Pradesh,1,Ananthapur,2010,59.8,171.4,2866.22,2842.85,23.37,23.37,0.82
West Bengal,13,Bankura,2013,377.61,1045.36,2768.36,2706.18,62.18,62.18,2.25
Punjab,9,Bhatinda,2016,376.16,1646.58,4377.34,4228.81,148.53,148.53,3.39
Jharkhand,15,Santhal Paragana / Dumka,2011,201.41,430.52,2137.53,2130.77,6.76,6.76,0.32
Himachal Pradesh,18,Bilashpur,2012,1.5,3.16,2106.67,0.0,2106.67,2106.67,100.0
Uttar Pradesh,12,Deoria,2016,260.11,533.78,2052.11,1994.28,57.83,57.83,2.82
Uttar Pradesh,12,Mathura,2013,52.65,126.58,2404.18,2388.72,15.46,15.46,0.64
Gujarat,3,Jamnagar,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jharkhand,15,Ranchi,2013,353.05,714.66,2024.25,1988.18,36.07,36.07,1.78
Uttar Pradesh,12,Jalaun,2012,0.51,0.56,1098.04,0.0,1098.04,1098.04,100.0
Madhya Pradesh,6,Damoh,2017,75.73,126.22,1666.71,1718.41,-51.7,51.7,3.1
Maharashtra,7,Yeotmal,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rajasthan,10,Jhunjhunu,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,11,Madurai,2010,94.77,432.12,4559.67,4322.01,237.66,237.66,5.21
Maharashtra,7,Aurangabad,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Telangana,20,Warangal,2011,224.35,573.94,2558.23,2594.38,-36.15,36.15,1.41
Uttar Pradesh,12,Bijnor,2012,16.12,44.27,2746.28,2422.05,324.23,324.23,11.81
Karnataka,5,Chickmagalur,2016,29.93,71.84,2400.32,2338.37,61.95,61.95,2.58
Maharashtra,7,Beed,2013,0.5,0.3,600.0,0.0,600.0,600.0,100.0
Maharashtra,7,Chandrapur,2017,284.38,287.3,1010.26,973.3,36.96,36.96,3.66
Gujarat,3,Kutch,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madhya Pradesh,6,Mandsaur,2017,0.8,1.76,2200.0,0.0,2200.0,2200.0,100.0
Uttar Pradesh,12,Unnao,2017,94.99,199.19,2097.0,2082.17,14.83,14.83,0.71
Madhya Pradesh,6,Sagar,2010,6.0,4.5,750.0,540.36,209.64,209.64,27.95
Maharashtra,7,Pune,2013,82.1,153.2,1866.02,1797.85,68.17,68.17,3.65
Madhya Pradesh,6,Datia,2015,14.0,24.0,1714.29,1499.96,214.33,214.33,12.5
Punjab,9,Kapurthala,2016,118.0,483.0,4093.22,3904.29,188.93,188.93,4.62
Uttar Pradesh,12,Mirzpur,2015,126.61,209.26,1652.79,1645.25,7.54,7.54,0.46
Haryana,4,Jind,2016,164.16,448.36,2731.24,2713.85,17.39,17.39,0.64
Punjab,9,Patiala,2014,310.72,1238.98,3987.45,4108.32,-120.87,120.87,3.03
Uttar Pradesh,12,Meerut,2014,60.99,173.28,2841.15,2803.33,37.82,37.82,1.33
Karnataka,5,Hassan,2011,48.87,120.86,2473.09,2407.16,65.93,65.93,2.67
Rajasthan,10,Banswara,2013,30.27,29.75,982.68,1025.15,-42.47,42.47,4.32
Maharashtra,7,Wardha,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,12,Gonda,2017,232.55,556.96,2394.98,2380.64,14.34,14.34,0.6
Uttar Pradesh,12,Banda,2010,53.92,60.55,1122.96,1120.16,2.8,2.8,0.25
Uttar Pradesh,12,Varanasi,2013,187.12,472.72,2526.29,2503.5,22.79,22.79,0.9
Uttar Pradesh,12,Pilibhit,2014,128.99,338.73,2626.02,2637.5,-11.48,11.48,0.44
Uttar Pradesh,12,Bareilly,2015,158.63,327.41,2063.99,1991.53,72.46,72.46,3.51
Punjab,9,Ferozpur,2016,642.84,2649.42,4121.43,3252.67,868.76,868.76,21.08
Uttarakhand,16,Almorah,2010,32.99,36.41,1103.67,1083.26,20.41,20.41,1.85
West Bengal,13,Hooghly,2010,292.37,904.16,3092.52,3019.42,73.1,73.1,2.36
Karnataka,5,Bangalore,2014,6.84,18.35,2682.75,2204.07,478.68,478.68,17.84
Maharashtra,7,Buldhana,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madhya Pradesh,6,Shivpuri,2013,14.63,17.06,1166.1,1013.29,152.81,152.81,13.1
Gujarat,3,Bharuch,2013,22.65,28.4,1253.86,1194.08,59.78,59.78,4.77
Punjab,9,Roopnagar / Ropar,2014,50.5,176.0,3485.15,3359.79,125.36,125.36,3.6
Bihar,2,Muzaffarpur,2016,282.12,496.21,1758.86,1790.06,-31.2,31.2,1.77
Uttar Pradesh,12,Varanasi,2012,174.38,465.76,2670.95,2664.9,6.05,6.05,0.23
Uttar Pradesh,12,Budaun,2016,84.13,179.89,2138.13,2173.38,-35.25,35.25,1.65
Madhya Pradesh,6,Betul,2017,45.0,79.11,1758.0,1581.9,176.1,176.1,10.02
Gujarat,3,Valsad,2010,155.6,383.6,2465.3,2467.95,-2.65,2.65,0.11
Madhya Pradesh,6,Khandwa / East Nimar,2013,4.88,3.92,803.28,0.0,803.28,803.28,100.0
Rajasthan,10,Dungarpur,2017,17.17,19.73,1149.47,805.68,343.79,343.79,29.91
Rajasthan,10,Swami Madhopur,2014,2.87,4.46,1554.01,1370.79,183.22,183.22,11.79
Rajasthan,10,Jaisalmer,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Bengal,13,Burdwan,2016,493.44,1514.45,3069.16,3201.41,-132.25,132.25,4.31
Madhya Pradesh,6,Ujjain,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,5,Bidar,2016,0.52,0.63,1198.1,0.0,1198.1,1198.1,100.0
Maharashtra,7,Kolhapur,2014,111.8,338.6,3028.62,3058.23,-29.61,29.61,0.98
Maharashtra,7,Osmanabad,2013,20.7,11.5,555.56,421.84,133.72,133.72,24.07
Gujarat,3,Surendranagar,2017,0.85,1.57,1853.77,0.0,1853.77,1853.77,100.0
Uttarakhand,16,Pithorgarh,2015,26.49,35.07,1323.9,1210.17,113.73,113.73,8.59
Kerala,19,Eranakulam,2017,5.58,13.35,2392.29,1664.78,727.51,727.51,30.41
Uttar Pradesh,12,Jalaun,2015,1.56,2.8,1794.87,0.0,1794.87,1794.87,100.0
Madhya Pradesh,6,Gwalior,2016,58.0,95.33,1643.62,1556.24,87.38,87.38,5.32
Uttar Pradesh,12,Pilibhit,2013,135.91,380.14,2797.0,2735.56,61.44,61.44,2.2
Rajasthan,10,Ajmer,2013,0.01,0.01,1000.0,0.0,1000.0,1000.0,100.0
Himachal Pradesh,18,Kullu,2016,1.33,1.74,1307.52,0.0,1307.52,1307.52,100.0
Rajasthan,10,Banswara,2017,28.87,29.52,1022.5,1027.68,-5.18,5.18,0.51
Madhya Pradesh,6,Guna,2015,4.0,6.0,1500.0,656.72,843.28,843.28,56.22
Karnataka,5,Kodagu / Coorg,2013,32.03,92.21,2878.86,2701.58,177.28,177.28,6.16
Orissa,8,Keonjhar,2010,181.57,194.97,1073.8,1068.64,5.16,5.16,0.48
Orissa,8,Mayurbhanja,2011,299.21,563.67,1883.86,1908.66,-24.8,24.8,1.32
Haryana,4,Jind,2017,165.65,491.38,2966.34,2909.64,56.7,56.7,1.91
Orissa,8,Puri,2014,325.46,692.52,2127.82,2110.12,17.7,17.7,0.83
Maharashtra,7,Kolhapur,2016,114.2,397.8,3483.36,3319.42,163.94,163.94,4.71
Gujarat,3,Junagadh,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jharkhand,15,Palamau,2017,121.89,253.28,2077.92,1981.97,95.95,95.95,4.62
Orissa,8,Phulbani ( Kandhamal ),2015,90.57,83.55,922.49,981.34,-58.85,58.85,6.38
Andhra Pradesh,1,Visakhapatnam,2012,166.65,312.24,1873.71,1841.81,31.9,31.9,1.7
Himachal Pradesh,18,Kangra,2013,37.76,58.06,1537.61,1492.17,45.44,45.44,2.96
Assam,17,Darrang,2010,348.39,670.09,1923.39,1882.44,40.95,40.95,2.13
Rajasthan,10,Kota,2012,12.3,33.1,2691.06,2418.86,272.2,272.2,10.12
Assam,17,North Cachar Hil / Dima hasao,2010,15.25,21.66,1420.33,1199.56,220.77,220.77,15.54
Maharashtra,7,Nanded,2015,0.4,0.1,250.0,0.0,250.0,250.0,100.0
Gujarat,3,Surendranagar,2012,0.2,0.4,2000.0,0.0,2000.0,2000.0,100.0
Maharashtra,7,Yeotmal,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,11,South Arcot / Cuddalore,2015,322.29,1280.44,3972.94,3954.14,18.8,18.8,0.47
Andhra Pradesh,1,Ananthapur,2011,48.67,120.07,2467.02,2394.39,72.63,72.63,2.94
Maharashtra,7,Bhandara,2010,378.6,607.65,1604.99,1602.51,2.48,2.48,0.15
Tamil Nadu,11,Tiruchirapalli / Trichy,2016,123.55,529.5,4285.73,4025.22,260.51,260.51,6.08
Punjab,9,Patiala,2015,311.72,1263.68,4053.89,4175.51,-121.62,121.62,3.0
West Bengal,13,Murshidabad,2014,367.46,1190.49,3239.78,3193.33,46.45,46.45,1.43
Maharashtra,7,Ratnagiri,2013,148.9,451.6,3032.91,2965.54,67.37,67.37,2.22
Assam,17,Goalpara,2010,380.68,763.77,2006.35,1981.29,25.06,25.06,1.25
West Bengal,13,Birbhum,2011,386.88,1126.8,2912.53,2876.18,36.35,36.35,1.25
Maharashtra,7,Chandrapur,2013,319.4,450.2,1409.52,1408.41,1.11,1.11,0.08
Kerala,19,Thiruvananthapuram,2017,1.74,4.55,2620.03,1471.98,1148.05,1148.05,43.82
West Bengal,13,24 Parganas,2010,595.7,1462.91,2455.78,2707.14,-251.36,251.36,10.24
West Bengal,13,Howrah,2012,111.21,286.83,2579.17,2558.51,20.66,20.66,0.8
Tamil Nadu,11,Madurai,2013,52.0,240.54,4625.77,4284.26,341.51,341.51,7.38
Uttar Pradesh,12,Sultanpur,2013,163.21,386.45,2367.79,2386.83,-19.04,19.04,0.8
Maharashtra,7,Pune,2010,60.9,71.92,1180.95,1102.56,78.39,78.39,6.64
Rajasthan,10,Alwar,2010,0.38,0.77,2026.32,0.0,2026.32,2026.32,100.0
Madhya Pradesh,6,Sagar,2014,5.0,5.33,1066.0,418.92,647.08,647.08,60.7
Rajasthan,10,Jodhpur,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maharashtra,7,Yeotmal,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Bengal,13,Howrah,2017,110.38,300.67,2724.04,2628.81,95.23,95.23,3.5
Madhya Pradesh,6,Gwalior,2013,57.51,135.09,2348.98,2347.6,1.38,1.38,0.06
Himachal Pradesh,18,Lahul & Spiti,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karnataka,5,Belgaum,2015,61.23,40.8,666.34,706.97,-40.63,40.63,6.1
Himachal Pradesh,18,Chamba,2014,2.52,3.33,1321.43,0.0,1321.43,1321.43,100.0
Madhya Pradesh,6,Dhar,2014,1.0,0.67,670.0,0.0,670.0,670.0,100.0
Karnataka,5,Bangalore,2016,4.96,9.26,1866.88,1176.33,690.55,690.55,36.99
Haryana,4,Gurgaon,2010,54.0,140.0,2592.59,2514.35,78.24,78.24,3.02
Telangana,20,Medak,2013,170.97,624.49,3652.63,3677.01,-24.38,24.38,0.67
Himachal Pradesh,18,Sirmaur,2012,5.65,6.75,1194.69,996.49,198.2,198.2,16.59
Madhya Pradesh,6,Shivpuri,2014,14.0,17.33,1237.86,1098.94,138.92,138.92,11.22
Maharashtra,7,Akola,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rajasthan,10,Dungarpur,2014,16.33,11.38,696.88,834.46,-137.58,137.58,19.74
Karnataka,5,Tumkur,2012,14.89,37.72,2533.24,2322.06,211.18,211.18,8.34
Orissa,8,Puri,2015,321.38,493.49,1535.53,1505.54,29.99,29.99,1.95
Assam,17,Karbi Anglong,2017,132.87,255.01,1919.27,1894.57,24.7,24.7,1.29
Jharkhand,15,Ranchi,2015,370.06,352.66,952.98,1046.12,-93.14,93.14,9.77
Uttar Pradesh,12,Pratapgarh,2011,97.81,226.62,2316.94,2203.99,112.95,112.95,4.87
Haryana,4,Karnal,2011,492.5,1539.02,3124.93,3191.33,-66.4,66.4,2.12
Assam,17,Lakhimpur,2010,217.52,345.12,1586.61,1637.78,-51.17,51.17,3.23
Jharkhand,15,Ranchi,2012,342.83,670.11,1954.64,1954.58,0.06,0.06,0.0
Uttar Pradesh,12,Sitapur,2015,160.52,346.41,2158.05,2143.52,14.53,14.53,0.67
Assam,17,Kamrup,2011,488.48,913.45,1869.98,1823.62,46.36,46.36,2.48
Punjab,9,Patiala,2017,314.72,1359.15,4318.6,4248.93,69.67,69.67,1.61
Haryana,4,Jind,2014,151.98,423.6,2787.21,2695.06,92.15,92.15,3.31
Punjab,9,Ludhiana,2012,269.9,1226.6,4544.65,4323.06,221.59,221.59,4.88
Uttarakhand,16,Nainital,2016,130.44,429.93,3295.98,3172.27,123.71,123.71,3.75
Bihar,2,Purnea,2014,390.34,996.73,2553.49,2451.56,101.93,101.93,3.99
Punjab,9,Gurdaspur,2015,203.0,588.0,2896.55,2881.77,14.78,14.78,0.51
Karnataka,5,Bijapur / Vijayapura,2013,0.1,0.31,3100.0,0.0,3100.0,3100.0,100.0
Telangana,20,Warangal,2010,268.06,860.41,3209.77,3266.74,-56.97,56.97,1.77
Assam,17,Cachar,2016,232.73,466.41,2004.13,1959.69,44.44,44.44,2.22
Gujarat,3,Rajkot,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,12,Bareilly,2014,163.95,337.57,2058.98,2084.77,-25.79,25.79,1.25
Andhra Pradesh,1,West Godavari,2011,363.79,1308.47,3596.77,3491.95,104.82,104.82,2.91
Telangana,20,Hyderabad,2017,50.34,150.2,2983.71,2875.56,108.15,108.15,3.62
Madhya Pradesh,6,Dewas,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttar Pradesh,12,Etawah,2012,101.82,310.05,3045.08,2788.91,256.17,256.17,8.41
Uttarakhand,16,Pithorgarh,2017,26.3,33.83,1286.44,1166.2,120.24,120.24,9.35
Telangana,20,Nizamabad,2014,169.27,620.53,3665.92,3651.11,14.81,14.81,0.4
Madhya Pradesh,6,Dewas,2010,0.2,0.2,1000.0,0.0,1000.0,1000.0,100.0
Uttarakhand,16,Almorah,2014,30.03,39.7,1322.01,1265.84,56.17,56.17,4.25
Punjab,9,Patiala,2016,313.72,1351.85,4309.1,4222.45,86.65,86.65,2.01
Maharashtra,7,Raigad,2015,115.6,339.9,2940.31,2891.47,48.84,48.84,1.66
Uttar Pradesh,12,Saharanpur,2017,70.55,185.44,2628.49,2511.5,116.99,116.99,4.45
Haryana,4,Ambala,2010,165.6,556.0,3357.49,3313.08,44.41,44.41,1.32
Tamil Nadu,11,Ramananthapuram,2017,217.34,438.45,2017.36,2021.8,-4.44,4.44,0.22
Haryana,4,Gurgaon,2012,49.23,134.0,2721.92,2554.79,167.13,167.13,6.14
Haryana,4,Gurgaon,2014,57.0,159.0,2789.47,2726.25,63.22,63.22,2.27
Chhattisgarh,14,Bilaspur,2015,731.83,1340.65,1831.92,1916.22,-84.3,84.3,4.6
Tamil Nadu,11,Salem,2010,86.56,365.08,4217.65,4171.6,46.05,46.05,1.09
Telangana,20,Nizamabad,2011,259.81,972.2,3741.97,3536.52,205.45,205.45,5.49
Madhya Pradesh,6,Bhind,2014,6.0,20.67,3445.0,2617.75,827.25,827.25,24.01
Uttar Pradesh,12,Farrukhabad,2012,32.56,94.73,2909.4,2670.53,238.87,238.87,8.21
Maharashtra,7,Buldhana,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,1,Chittoor,2017,64.81,246.15,3797.99,3469.45,328.54,328.54,8.65
West Bengal,13,24 Parganas,2016,582.01,1554.29,2670.56,3002.94,-332.38,332.38,12.45
Karnataka,5,Kodagu / Coorg,2010,35.44,93.45,2636.85,2608.41,28.44,28.44,1.08
Andhra Pradesh,1,Guntur,2014,333.74,1298.65,3891.24,3723.0,168.24,168.24,4.32
Gujarat,3,Panchmahal,2017,127.96,144.13,1126.36,1115.53,10.83,10.83,0.96
Himachal Pradesh,18,Sirmaur,2015,5.37,6.35,1182.5,1004.98,177.52,177.52,15.01
West Bengal,13,Burdwan,2014,583.28,1896.03,3250.63,3323.46,-72.83,72.83,2.24
Madhya Pradesh,6,Rajgarh,2015,1.0,1.33,1330.0,0.0,1330.0,1330.0,100.0
Haryana,4,Mahendragarh / Narnaul,2011,7.95,21.17,2664.23,2404.82,259.41,259.41,9.74
Uttar Pradesh,12,Etawah,2014,108.55,312.43,2878.21,2805.45,72.76,72.76,2.53
Madhya Pradesh,6,Bhind,2011,0.4,1.3,3250.0,0.0,3250.0,3250.0,100.0
Rajasthan,10,Barmer,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Telangana,20,Nalgonda,2011,327.76,963.8,2940.57,2787.86,152.71,152.71,5.19
Maharashtra,7,Thane,2010,138.3,280.58,2028.78,2034.32,-5.54,5.54,0.27
Punjab,9,Amritsar,2011,357.0,972.0,2722.69,2656.17,66.52,66.52,2.44
Punjab,9,Gurdaspur,2011,174.39,649.0,3721.54,3706.24,15.3,15.3,0.41
Gujarat,3,Kheda,2011,201.3,451.3,2241.93,2256.78,-14.85,14.85,0.66
West Bengal,13,Bankura,2011,376.99,1119.51,2969.6,2915.16,54.44,54.44,1.83
Himachal Pradesh,18,Solan,2017,3.9,9.84,2521.4,1820.4,701.0,701.0,27.8
Andhra Pradesh,1,Kadapa YSR,2017,54.98,139.76,2542.13,2502.18,39.95,39.95,1.57
Madhya Pradesh,6,Morena,2010,9.7,28.8,2969.07,2530.91,438.16,438.16,14.76
Madhya Pradesh,6,Ratlam,2016,1.0,0.66,660.0,0.0,660.0,660.0,100.0
Maharashtra,7,Beed,2015,0.3,0.0,0.0,0.0,0.0,0.0,0.0
West Bengal,13,Midnapur,2014,1154.23,3152.73,2731.46,2676.92,54.54,54.54,2.0
